id,x1_Excellent_Food,x2_Attractive_Interior,x3_Generous_Portions,x4_Tastes,x5_Value,x6_Friendly_employees,x7_Clean_Neat,x8_Fun_place,x9_Menu_variety,x10_Reasonable_prices,x11_Courteous_employees,x12_Competent_employees,x13_Food_quality,x14_Atomsphere,x15_Price,x16_Employee,x17_Satisfaction,x18_Return_future,x19_Recommend_Friend,x20_Frequency_patronage,X21_SAWA,X22_ADVW,X23_ADRT,X24_LGCU,X25_GEND,X26_AGE,X27_INC,X28_COMP
2,6,5,3,4,4,4,5,4,4,4,3.90,3,4,2,1,3,4,3,4,3,1,1,3,11,1,35,40,0
4,3,4,5,3,3,2,5,4,3,5,2.00,1,3,4,2,1,3,3,4,2,0,#NULL!,#NULL!,3,1,50,141,0
6,5,4,3,3,3,2,3,3,6,3,2.00,1,4,3,1,2,3,3,3,1,1,2,6,11,1,50,140,0
7,4,5,3,5,4,1,4,4,6,4,1.00,1,3,4,2,1,4,5,4,1,1,3,5,7,1,55,96,0
8,6,6,2,6,6,4,5,4,4,3,2.00,2,3,4,1,2,6,6,6,3,1,2,6,20,0,26,67,0
11,6,7,3,6,6,4,5,5,6,4,2.00,2,4,3,1,2,6,6,6,3,1,1,3,59,0,40,71,0
12,5,5,5,5,5,2,4,3,5,5,1.00,1,3,2,1,4,5,5,5,2,1,3,6,8,0,53,87,0
16,6,6,2,6,6,5,5,4,6,4,2.00,3,4,3,1,2,6,6,6,3,1,1,4,57,0,42,53,0
21,3,5,5,3,4,4,5,3,4,5,1.00,1,2,3,1,4,4,3,3,1,1,2,6,4,0,54,132,0
23,6,5,5,5,5,4,5,4,7,6,3.00,2,4,3,2,1,6,5,5,3,1,1,4,58,0,49,58,0
25,3,4,3,3,3,4,4,4,5,5,3.00,2,3,4,1,2,3,3,3,1,1,1,4,7,0,73,81,0
26,5,6,5,5,5,4,5,5,5,4,4.00,2,3,2,1,4,6,5,5,3,1,3,5,33,0,37,64,0
27,7,7,5,5,5,4,5,4,7,5,3.00,2,4,2,1,3,6,5,5,3,1,1,4,47,0,43,61,0
28,5,3,3,5,3,4,2,3,5,5,2.00,2,3,4,2,1,4,3,3,2,1,1,4,6,1,59,144,0
30,6,4,2,4,3,2,4,4,6,3,3.00,2,4,3,1,2,4,4,3,2,0,#NULL!,#NULL!,11,1,57,36,0
31,4,4,7,4,5,2,6,3,6,6,2.00,1,3,4,2,1,4,4,3,1,1,1,4,6,1,51,48,0
32,6,5,4,5,5,4,3,4,5,5,1.00,1,4,2,1,3,5,5,4,2,0,#NULL!,#NULL!,7,0,44,71,0
33,4,5,4,4,4,4,6,3,4,5,2.00,1,3,4,2,1,4,4,4,1,1,3,7,10,1,50,72,0
35,4,4,4,4,4,2,4,3,4,4,1.00,2,3,4,1,2,4,4,4,1,1,2,7,8,0,52,78,0
36,4,5,4,6,4,2,4,3,7,5,1.00,1,4,2,3,1,4,4,4,1,1,1,4,7,0,57,136,0
37,6,6,4,6,6,3,6,4,6,4,2.00,2,4,3,1,2,6,6,6,3,1,1,4,15,0,34,63,0
40,3,6,1,3,3,3,4,4,4,3,3.00,1,3,4,1,2,4,3,3,1,1,1,3,9,0,52,127,0
45,6,5,3,6,4,5,6,4,6,3,2.00,3,4,2,3,1,4,4,3,2,1,1,3,30,1,18,36,0
51,5,5,4,5,4,2,3,3,5,4,2.00,1,4,3,1,2,6,5,4,3,1,1,4,57,0,47,65,0
54,4,5,4,4,4,2,6,4,6,4,1.00,1,3,4,2,1,4,4,4,2,1,1,4,4,1,56,44,0
59,7,5,3,7,3,2,7,5,7,5,2.00,2,4,3,2,1,5,5,4,3,1,3,5,28,1,27,37,0
63,4,5,4,7,4,3,5,4,7,3,2.00,1,4,3,1,2,4,4,4,1,1,2,6,5,0,59,131,0
64,6,4,4,6,4,4,4,1,7,4,1.00,1,4,3,2,1,4,4,3,2,1,1,4,3,0,50,140,0
65,4,4,4,4,4,2,4,3,6,5,2.00,1,4,3,2,1,4,4,4,2,0,#NULL!,#NULL!,8,0,62,138,0
67,4,4,4,4,3,4,4,3,6,6,3.00,3,3,4,1,2,4,4,3,1,1,3,6,12,1,52,108,0
68,4,5,3,4,4,3,4,4,4,4,3.00,2,3,4,1,2,4,3,3,1,1,1,4,23,1,66,125,0
69,4,6,4,6,2,2,5,5,6,3,2.00,1,4,3,1,2,4,4,4,1,1,3,6,7,1,53,76,0
71,7,5,4,7,4,4,6,3,7,5,3.00,2,4,3,1,2,7,5,5,3,1,3,6,25,0,48,73,0
72,4,4,1,4,4,2,3,2,4,4,1.00,1,3,4,2,1,4,4,4,1,1,1,5,9,1,51,40,0
73,5,4,1,5,1,5,3,2,6,3,3.00,3,4,3,1,2,7,6,5,3,1,1,4,17,0,28,74,0
77,6,5,6,6,6,3,5,4,6,6,3.00,2,4,3,1,2,4,4,3,1,1,1,5,10,0,58,115,0
80,5,5,3,5,3,2,5,4,5,4,1.00,1,3,4,2,1,4,3,3,1,1,1,4,3,1,65,118,0
81,7,5,5,6,5,3,4,5,6,4,1.00,2,4,3,2,1,6,5,6,3,1,1,4,60,0,26,58,0
83,7,5,4,7,4,2,6,5,7,4,1.00,1,4,3,2,1,5,5,4,2,1,3,6,24,0,57,155,0
84,3,5,5,3,3,2,5,4,3,5,1.00,1,3,4,2,1,3,3,3,1,1,1,4,11,1,53,257,0
86,4,4,4,6,4,3,5,3,6,3,1.00,1,4,3,2,1,4,4,4,1,1,1,4,9,1,50,85,0
87,3,5,1,3,5,1,5,3,5,2,1.00,1,4,2,1,3,6,5,5,1,1,1,4,4,0,34,67,0
88,6,5,6,6,6,5,6,4,5,5,3.00,2,4,2,1,3,7,7,6,3,1,2,6,54,0,31,84,0
89,7,4,4,7,4,3,2,3,7,5,3.00,2,4,3,1,2,5,5,4,2,0,#NULL!,#NULL!,18,1,33,79,0
92,3,4,3,5,3,1,2,2,5,4,1.00,1,4,3,2,1,3,3,3,1,0,#NULL!,#NULL!,3,1,54,39,0
93,6,7,3,7,4,3,6,6,6,4,2.00,2,4,2,1,3,7,6,6,3,1,2,7,31,1,28,83,0
97,4,5,1,5,4,3,4,3,4,3,2.00,2,4,2,1,3,4,4,4,1,1,3,6,8,0,51,575,0
98,7,5,1,7,4,1,5,4,7,3,1.00,1,4,3,1,2,4,4,4,2,1,1,4,8,0,52,300,0
99,6,5,4,5,4,3,5,4,7,4,2.00,2,3,4,1,2,5,4,4,2,1,2,6,15,1,22,75,0
100,6,6,2,6,4,3,2,4,6,4,1.00,2,4,3,2,1,5,4,3,2,1,3,6,29,1,29,63,0
102,4,5,4,6,4,5,5,4,6,4,3.90,3,4,2,1,3,4,4,4,3,1,2,7,10,1,45,45,0
104,3,4,3,4,3,2,5,4,3,5,2.00,1,3,4,2,1,3,3,3,3,1,2,7,9,1,58,170,0
106,5,4,1,5,3,2,2,3,5,3,2.00,1,4,3,1,2,3,3,3,1,1,2,7,10,1,98,125,0
107,5,5,3,5,4,1,4,4,5,3,1.00,1,3,4,2,1,4,5,4,1,1,2,6,6,1,57,150,0
108,4,6,2,4,2,3,5,4,4,3,2.00,2,3,4,1,2,7,6,5,3,1,2,7,26,0,38,77,0
111,7,7,3,7,6,3,5,5,7,4,2.00,2,4,3,1,2,6,6,6,3,1,3,6,58,0,39,78,0
112,4,5,4,4,4,2,2,3,4,4,1.00,1,3,2,1,4,5,4,4,1,0,#NULL!,#NULL!,4,0,59,71,0
116,7,6,2,7,2,5,5,4,7,4,2.00,3,4,3,1,2,6,5,5,3,1,2,7,59,0,36,88,0
121,3,5,5,3,5,3,3,3,3,5,1.00,1,2,3,1,4,5,5,5,1,1,2,7,11,0,42,45,0
123,7,5,5,7,5,3,4,4,6,5,3.00,2,4,3,2,1,7,6,6,3,0,#NULL!,#NULL!,57,0,33,50,0
125,4,4,3,3,3,3,4,4,5,5,3.00,2,3,4,1,2,3,3,3,1,0,#NULL!,#NULL!,9,0,103,84,0
126,4,6,5,5,5,4,5,5,5,4,4.00,2,3,2,1,4,5,5,4,2,1,2,7,31,0,23,21,0
127,7,7,6,6,6,4,5,4,6,5,3.00,2,4,2,1,3,6,6,6,3,1,3,6,27,0,40,68,0
128,5,3,3,5,3,4,2,3,6,5,2.00,2,3,4,2,1,4,3,3,1,1,3,6,7,1,50,200,0
130,6,4,1,6,1,2,2,2,6,3,3.00,2,4,3,1,2,4,3,3,1,1,3,5,10,1,53,88,0
131,5,4,7,4,4,2,6,3,4,6,2.00,1,3,4,2,1,4,4,4,1,1,2,6,9,1,51,167,0
132,6,5,5,6,5,3,3,4,6,5,1.00,1,4,2,1,3,6,6,5,3,1,2,7,20,0,35,84,0
133,5,5,4,4,4,3,6,3,4,4,2.00,1,3,4,2,1,4,4,4,1,1,2,7,11,1,54,70,0
135,5,4,3,5,5,2,3,3,5,4,1.00,2,3,4,1,2,6,5,5,3,1,3,5,30,0,39,81,0
136,7,5,6,6,6,2,4,3,6,4,1.00,1,4,2,3,1,6,6,6,3,1,3,5,29,0,34,95,0
137,7,6,5,7,5,3,6,4,7,4,2.00,2,4,3,1,2,6,5,4,3,1,2,6,33,0,27,41,0
140,4,6,1,4,4,3,4,4,5,3,3.00,1,3,4,1,2,5,4,4,1,1,2,7,4,0,59,82,0
145,6,5,3,6,3,5,6,4,6,3,2.00,3,4,2,3,1,4,4,3,2,1,2,7,26,1,19,50,0
151,5,5,4,4,4,2,3,3,6,4,2.00,1,4,3,1,2,4,4,4,1,1,2,7,10,0,57,123,0
154,5,5,4,5,4,2,6,4,5,4,1.00,1,3,4,2,1,4,4,4,2,1,3,5,6,1,50,41,0
159,7,5,5,7,5,2,4,5,7,5,2.00,2,4,3,2,1,5,5,5,3,1,1,4,21,1,44,38,0
163,7,5,2,7,2,3,4,4,7,3,2.00,1,4,3,1,2,5,4,3,1,1,2,7,9,0,55,160,0
164,6,4,4,6,4,3,3,1,6,4,1.00,1,4,3,2,1,5,4,3,1,1,2,7,8,0,57,90,0
165,5,4,5,5,5,2,3,3,5,5,2.00,1,4,3,2,1,6,5,5,1,1,1,4,7,0,48,49,0
167,4,4,6,4,3,4,3,3,3,6,3.00,3,3,4,1,2,4,3,3,1,1,2,7,31,1,55,147,0
168,4,5,3,3,3,3,4,4,3,4,3.00,2,3,4,1,2,4,3,3,1,1,1,4,22,1,95,122,0
169,6,6,2,6,3,2,5,5,6,3,2.00,1,4,3,1,2,4,3,3,1,1,1,5,7,1,58,124,0
171,7,5,4,6,5,4,6,3,7,5,3.00,2,4,3,1,2,6,5,5,3,1,3,5,33,0,41,76,0
172,5,4,1,5,3,2,3,2,5,3,1.00,1,3,4,2,1,4,3,3,1,1,2,6,4,1,51,137,0
173,5,4,1,5,2,5,3,2,6,3,3.00,3,4,3,1,2,7,6,6,3,1,3,5,28,0,40,67,0
177,6,5,4,6,4,3,5,4,6,6,3.00,2,4,3,1,2,4,4,4,1,1,3,6,1,0,50,24,0
180,5,5,4,4,4,2,5,4,4,4,1.00,1,3,4,2,1,4,4,4,1,1,3,5,11,1,78,76,0
181,7,5,6,6,6,3,4,3,6,4,1.00,2,4,3,2,1,6,6,6,2,1,2,6,57,0,38,56,0
183,7,5,4,7,4,2,6,5,7,4,1.00,1,4,3,2,1,5,4,4,1,0,#NULL!,#NULL!,35,0,55,149,0
184,4,5,5,3,3,2,5,4,3,5,1.00,1,3,4,2,1,3,3,3,1,1,2,6,6,1,53,90,0
186,6,4,4,6,4,3,5,3,6,3,1.00,1,4,3,2,1,4,4,4,1,1,2,7,9,1,57,78,0
187,3,5,1,3,3,1,5,3,3,2,1.00,1,4,2,1,3,4,3,3,1,1,2,6,2,0,53,83,0
188,6,5,6,6,6,5,6,4,6,5,3.00,2,4,2,1,3,7,6,6,3,1,3,5,48,0,42,88,0
189,7,4,4,7,4,3,2,3,7,5,3.00,2,4,3,1,2,5,4,4,2,1,2,7,36,1,29,78,0
192,5,4,3,5,3,1,2,4,5,4,1.00,1,4,3,2,1,3,3,3,1,1,3,6,3,1,58,54,0
193,7,7,3,5,5,3,6,6,5,4,2.00,2,4,2,1,3,6,5,5,3,1,2,7,19,1,32,92,0
197,5,5,1,5,5,3,4,4,5,3,2.00,2,4,2,1,3,6,5,5,2,1,3,5,60,0,46,51,0
198,7,5,1,7,4,1,5,4,7,3,1.00,1,4,3,1,2,4,4,4,1,1,2,7,9,0,51,135,0
199,6,5,6,6,6,3,5,4,6,4,2.00,2,3,4,1,2,6,6,6,3,1,2,6,17,1,28,78,0
200,6,6,2,5,5,3,2,4,5,4,1.00,2,4,3,2,1,6,5,5,2,0,#NULL!,#NULL!,20,1,40,73,0
1,6,4,1,6,4,4,4,3,6,3,3.00,2,4,3,1,2,7,6,6,3,1,1,4,49,1,24,26,1
3,7,4,4,7,6,4,4,3,7,4,3.00,4,4,3,2,1,7,7,7,3,1,1,3,54,1,35,40,1
5,5,4,5,5,5,5,3,3,5,4,3.00,2,4,3,1,2,5,5,5,2,0,#NULL!,#NULL!,56,0,66,120,1
9,4,5,3,4,5,5,3,3,3,4,2.00,3,3,4,2,1,7,6,6,3,1,1,4,44,1,40,70,1
10,4,4,3,4,4,4,4,3,4,3,2.00,2,3,4,1,2,4,3,4,1,1,3,6,7,0,52,120,1
13,7,4,3,6,4,5,4,3,6,5,3.00,2,4,3,1,2,7,6,5,3,1,3,6,43,1,33,55,1
14,6,6,6,6,6,4,3,4,6,5,3.00,3,4,3,2,1,6,6,6,3,1,1,4,54,1,30,26,1
15,4,4,3,4,4,5,4,3,4,4,3.00,3,3,4,1,2,7,6,5,3,1,1,4,41,1,20,50,1
17,5,5,5,5,5,5,2,2,5,5,2.00,3,3,4,1,2,5,5,5,1,0,#NULL!,#NULL!,39,0,57,121,1
18,4,5,4,4,4,5,3,3,4,4,4.00,3,3,4,1,2,5,4,4,2,1,1,4,38,0,56,86,1
19,4,5,3,5,3,4,3,4,5,3,3.00,3,3,4,1,2,6,5,5,2,1,1,4,49,1,37,92,1
20,7,5,2,6,2,4,3,4,7,4,3.00,2,4,3,2,1,6,7,7,3,1,1,4,47,0,29,62,1
22,7,4,5,7,7,4,3,4,7,4,2.00,4,4,2,1,3,7,7,7,3,1,1,4,57,1,31,44,1
24,6,4,2,7,3,5,4,4,6,4,5.00,3,4,3,1,2,7,6,5,3,1,3,6,51,1,28,57,1
29,7,5,4,4,4,4,2,2,6,4,4.00,2,4,3,2,1,4,4,4,3,0,#NULL!,#NULL!,60,0,55,143,1
34,7,4,4,7,6,4,2,2,5,4,3.00,4,4,3,1,2,7,7,7,3,1,1,4,38,1,33,53,1
38,7,4,4,7,6,5,3,3,7,4,3.00,4,4,3,1,2,7,7,7,3,0,#NULL!,#NULL!,60,1,29,47,1
39,6,5,2,5,2,5,4,3,5,3,3.00,3,4,3,2,1,6,5,5,3,1,1,5,7,1,33,94,1
41,5,5,5,5,1,5,4,5,5,2,3.00,2,4,3,2,1,5,5,5,2,1,1,4,46,0,50,91,1
42,6,4,3,6,3,4,3,3,6,3,2.00,2,4,3,1,2,6,6,5,3,1,3,6,40,1,21,74,1
43,7,4,3,5,3,5,3,3,6,3,3.00,2,3,4,2,1,7,5,4,3,1,2,7,8,0,34,48,1
44,3,6,5,5,5,5,4,4,3,5,3.00,3,3,4,2,1,6,5,6,3,1,1,5,39,1,39,85,1
46,4,4,4,5,4,5,3,3,4,4,3.00,3,3,4,2,1,5,7,5,2,1,2,7,17,0,27,78,1
47,7,5,5,6,6,4,4,3,6,5,3.00,2,4,3,1,2,6,7,6,3,1,1,4,55,1,49,44,1
48,4,4,5,5,5,5,4,3,4,5,5.00,3,2,4,1,3,6,5,4,1,0,#NULL!,#NULL!,37,0,30,83,1
49,6,5,2,6,2,4,3,3,6,4,3.00,2,3,4,2,1,7,6,6,3,0,#NULL!,#NULL!,43,1,40,37,1
50,6,5,2,6,2,4,3,3,6,3,2.00,2,3,4,2,1,6,5,4,3,1,1,5,4,1,26,75,1
52,5,3,2,5,2,5,3,3,5,3,3.00,3,4,2,1,3,6,5,5,3,1,1,3,40,0,41,82,1
53,7,5,7,7,6,4,4,3,7,4,3.00,4,4,2,1,3,7,7,7,3,1,1,3,46,1,28,69,1
55,5,5,5,5,5,5,4,3,5,3,3.00,2,4,2,1,3,5,5,5,2,1,2,7,33,0,53,123,1
56,6,5,6,6,6,4,3,3,6,5,2.00,1,3,4,1,2,6,6,6,3,1,2,6,54,1,32,43,1
57,5,5,3,5,6,6,4,3,4,4,4.00,4,2,4,1,3,7,6,6,3,0,#NULL!,#NULL!,47,1,33,70,1
58,6,6,3,6,3,4,4,5,5,5,3.00,2,4,2,1,3,7,6,5,2,1,3,6,4,1,24,38,1
60,7,4,5,7,6,5,4,1,7,4,4.00,3,4,2,1,3,7,7,6,3,1,2,7,43,1,25,41,1
61,7,1,6,7,5,5,1,1,7,5,3.00,3,4,2,1,3,5,5,4,3,1,1,3,39,0,30,78,1
62,5,5,5,5,5,5,2,3,5,3,1.00,2,3,4,1,2,5,5,5,3,0,#NULL!,#NULL!,47,0,21,100,1
66,6,4,6,6,6,6,4,4,3,3,3.00,3,2,4,1,3,6,6,6,3,1,1,4,21,1,19,99,1
70,4,4,1,4,3,5,4,3,4,3,3.00,2,3,4,1,2,5,4,5,1,1,2,6,28,0,18,150,1
74,7,4,7,7,7,4,4,3,7,5,2.00,4,4,3,1,2,7,7,7,3,1,1,4,55,1,23,27,1
75,7,4,3,7,6,4,4,3,6,4,2.00,2,4,3,1,2,7,6,6,3,1,1,4,41,0,25,30,1
76,5,5,5,5,5,4,4,3,5,5,1.00,2,4,3,2,1,5,5,5,2,1,3,5,41,0,19,147,1
78,7,5,5,6,5,5,4,3,7,5,2.00,2,4,3,1,2,6,5,5,3,0,#NULL!,#NULL!,51,0,29,85,1
79,7,4,4,6,4,6,4,3,7,5,3.00,3,4,3,1,2,7,6,5,3,1,3,6,53,1,28,44,1
82,5,1,5,5,5,3,1,1,7,4,2.00,2,4,3,1,2,5,5,5,3,1,1,4,56,0,46,127,1
85,6,5,5,6,6,5,3,3,6,5,3.00,2,4,3,1,2,7,6,5,3,1,2,7,41,0,42,58,1
90,4,5,6,6,6,6,5,3,4,5,4.00,3,3,4,1,2,7,6,6,3,1,1,3,54,1,33,64,1
91,5,4,5,5,5,2,5,3,5,6,2.00,1,4,3,1,2,5,5,5,1,1,1,4,41,0,27,145,1
94,7,4,3,7,6,7,4,2,7,4,3.00,4,2,4,1,3,7,7,6,3,1,1,5,55,1,30,48,1
95,6,6,6,6,6,4,4,5,6,3,2.00,3,3,4,1,2,6,6,6,2,1,1,3,40,1,20,28,1
96,7,4,5,6,5,4,6,3,7,4,3.00,2,4,3,1,2,5,6,5,3,1,3,6,20,0,56,79,1
101,6,4,2,7,4,4,4,3,6,3,3.00,2,4,3,1,2,7,6,6,2,1,2,7,38,0,24,40,1
103,7,4,7,7,7,5,5,3,7,4,3.00,4,4,3,2,1,7,7,7,3,1,3,5,38,1,39,46,1
105,7,4,4,7,4,4,4,3,7,4,3.00,2,4,3,1,2,4,4,4,2,1,1,4,41,0,65,1000,1
109,4,5,3,4,3,5,3,3,4,4,2.00,3,3,4,2,1,5,4,6,3,1,3,5,42,0,58,89,1
110,4,4,4,4,4,4,5,3,4,3,2.00,2,3,4,1,2,4,4,4,1,0,#NULL!,#NULL!,10,0,52,100,1
113,7,4,3,6,3,5,4,3,7,5,3.00,2,4,3,1,2,7,6,5,3,1,2,7,47,1,29,74,1
114,6,6,6,6,6,4,4,4,6,5,3.00,2,4,3,2,1,6,6,6,3,1,2,7,55,1,31,22,1
115,4,4,3,4,3,5,4,3,3,4,3.00,3,3,4,1,2,7,6,5,2,1,1,4,57,0,23,51,1
117,4,1,4,4,4,4,1,1,4,5,2.00,3,3,4,1,2,4,4,4,1,1,2,7,20,0,51,115,1
118,5,5,5,4,4,5,4,3,4,4,4.00,3,3,4,1,2,5,4,6,2,1,3,6,39,0,26,89,1
119,4,5,3,4,5,4,4,3,4,3,3.00,3,3,4,1,2,6,5,5,2,1,3,5,56,0,38,87,1
120,6,5,6,6,6,4,4,3,6,4,3.00,2,4,3,2,1,6,6,6,3,1,3,6,54,1,32,91,1
122,7,4,7,7,7,4,4,3,7,4,2.00,5,4,2,1,3,7,7,7,3,1,2,6,57,1,33,46,1
124,7,4,1,7,1,5,3,3,6,4,5.00,3,4,3,1,2,7,6,5,3,0,#NULL!,#NULL!,56,1,34,38,1
129,4,5,4,7,4,4,5,3,7,4,4.00,2,4,3,2,1,4,4,4,3,1,2,7,39,0,57,144,1
134,6,4,4,6,4,4,5,3,4,4,3.00,2,4,3,1,2,5,4,4,3,1,2,7,53,0,31,90,1
138,7,4,7,7,7,5,2,3,7,4,3.00,5,4,3,1,2,7,7,7,3,1,1,5,49,0,27,70,1
139,4,5,4,6,4,4,5,3,6,3,3.00,3,4,3,2,1,4,4,4,3,1,2,7,11,0,30,126,1
141,6,5,1,6,1,4,4,5,4,2,3.00,2,4,3,2,1,5,4,4,2,1,3,5,40,0,18,110,1
142,6,4,3,7,3,3,4,3,7,3,2.00,2,4,3,1,2,6,6,5,2,1,3,6,41,1,19,55,1
143,7,4,3,7,3,5,4,3,6,3,3.00,2,3,4,2,1,5,5,4,3,1,2,7,1,0,29,79,1
144,6,6,6,3,6,5,5,4,3,5,3.00,3,3,4,2,1,6,6,6,3,1,3,5,45,1,43,53,1
146,5,4,5,5,5,4,4,3,5,4,3.00,3,3,4,2,1,5,5,5,2,1,2,7,24,0,34,85,1
147,5,5,5,7,5,4,4,3,6,5,3.00,2,4,3,1,2,5,5,5,3,1,3,5,41,0,44,78,1
148,4,4,5,4,5,6,4,3,5,5,5.00,3,2,4,1,3,6,5,4,2,1,2,7,56,0,30,88,1
149,7,5,2,6,6,4,4,3,6,2,3.00,2,3,4,2,1,7,6,6,3,1,2,6,56,1,48,34,1
150,6,5,2,6,2,4,4,3,5,2,2.00,2,3,4,2,1,6,5,4,3,1,3,5,10,0,31,90,1
152,6,3,2,5,2,5,4,4,6,2,3.00,3,4,2,1,3,6,5,5,3,1,2,7,43,0,43,93,1
153,7,5,7,7,7,4,5,4,7,3,3.00,5,4,2,1,3,7,7,7,2,1,1,4,58,1,27,55,1
155,6,5,2,6,2,4,5,4,6,2,3.00,2,4,2,1,3,5,6,5,2,1,1,4,12,0,21,59,1
156,6,5,6,6,6,4,5,3,6,5,2.00,4,3,4,1,2,6,6,6,2,1,2,7,47,1,23,48,1
157,5,5,3,5,3,6,4,4,5,3,4.00,4,2,4,1,3,7,5,7,3,1,2,6,43,1,30,59,1
158,6,6,3,6,3,4,6,5,5,5,3.00,2,4,2,1,3,5,4,4,1,1,2,7,9,0,22,130,1
160,6,4,5,6,6,5,6,3,6,4,4.00,2,4,2,1,3,6,7,6,3,1,3,5,45,1,23,39,1
161,7,5,5,7,6,4,7,4,6,5,3.00,3,4,2,1,3,5,4,4,3,1,3,6,49,0,32,101,1
162,6,5,6,6,6,3,5,4,6,3,1.00,3,3,4,1,2,7,6,6,3,1,2,6,43,1,19,35,1
166,6,4,6,4,6,5,4,4,4,3,3.00,4,2,4,1,3,6,6,6,2,0,#NULL!,#NULL!,60,1,29,65,1
170,5,4,3,4,5,3,4,3,3,3,3.00,2,3,4,1,2,5,5,5,2,1,2,6,30,0,53,150,1
174,7,4,7,7,7,3,4,2,7,5,2.00,5,4,3,1,2,7,7,7,3,1,3,5,41,1,18,33,1
175,6,4,3,6,3,4,3,3,6,4,2.00,2,4,3,1,2,7,6,6,3,1,3,6,39,1,25,28,1
176,7,5,5,5,5,3,4,3,6,5,1.00,2,4,3,2,1,5,6,5,2,1,2,7,51,0,24,77,1
178,7,5,5,6,5,4,4,3,7,5,2.00,2,4,3,1,2,6,4,5,2,1,3,6,44,1,33,75,1
179,6,4,4,6,6,6,4,2,6,5,3.00,3,4,3,1,2,7,6,5,3,1,2,7,58,0,30,41,1
182,7,5,5,7,5,3,4,3,7,4,2.00,2,4,3,1,2,5,5,5,3,1,2,7,57,0,41,27,1
185,6,5,6,6,6,5,4,3,6,5,3.00,4,4,3,1,2,7,6,6,2,1,1,5,48,1,37,64,1
190,4,5,6,4,6,5,4,3,4,5,4.00,4,3,4,1,2,7,6,6,2,1,2,7,37,1,28,66,1
191,7,4,5,7,5,2,4,3,6,6,2.00,3,4,3,1,2,5,5,5,2,1,3,5,55,0,52,132,1
194,7,4,3,6,3,6,4,1,6,4,3.00,3,2,4,1,3,7,6,6,3,1,3,5,57,0,30,39,1
195,6,6,6,7,6,3,5,5,6,3,2.00,4,3,4,1,2,6,6,6,2,1,2,7,45,0,23,29,1
196,7,4,5,7,5,3,6,3,7,4,3.00,3,4,3,1,2,5,5,4,1,1,2,7,34,0,50,120,1
